time,altitude,acceleration
0,0,9.87529655
5.067,0,9.8851032
10.144,0,9.8851032
15.154,0,9.87529655
20.21,0,9.8654899
25.229,0,9.8851032
30.319,0,9.85568325
35.371,0,9.8654899
40.444,0,9.87529655
45.471,0,9.8851032
50.509,0,9.85568325
55.564,0,9.8654899
60.559,0,9.87529655
65.58,0,9.8851032
70.653,0,9.8654899
75.696,0,9.8654899
80.716,0,9.87529655
85.722,0,9.87529655
90.733,0,9.87529655
95.803,0,9.8654899
100.841,0,9.85568325
105.872,0,9.87529655
110.898,0,9.87529655
115.973,0,9.87529655
120.984,0,9.87529655
126.054,0,9.87529655
131.099,0,9.87529655
136.155,0,9.87529655
141.174,0,9.85568325
146.214,0,9.8851032
151.223,0,9.87529655
156.243,0,9.87529655
161.315,0,9.85568325
166.311,0,9.87529655
171.389,0,9.8851032
176.447,0,9.8851032
181.497,0,9.87529655
186.526,0,9.87529655
191.572,0,9.8654899
196.635,0,9.8654899
201.639,0,9.8851032
206.651,0,9.87529655
211.724,0,9.8851032
216.76,0,9.87529655
221.814,0,9.87529655
226.808,0,9.8654899
231.824,0,9.87529655
236.894,0,9.87529655
241.946,0,9.8654899
247.001,0,9.87529655
252.032,0,9.87529655
257.1,0,9.8851032
262.174,0,9.8851032
267.204,0,9.8654899
272.215,0,9.8654899
277.2,0,9.87529655
282.262,0,9.8654899
287.3,0,9.89490985
292.38,0,9.8654899
297.434,0,9.87529655
302.48,0,9.85568325
307.55,0,9.87529655
312.629,0,9.87529655
317.676,0,9.8851032
322.715,0,9.8654899
327.776,0,9.8851032
332.829,0,9.8654899
337.91,0,9.87529655
342.933,0,9.87529655
347.968,0,9.87529655
352.983,0,9.87529655
358.002,0,9.87529655
363.037,0,9.85568325
366.595,0,34.07810875
366.75,0,81.52268145
366.945,0.932642487,79.3750251
367.113,3.142334654,79.34560515
367.31,7.964035355,79.5515448
367.514,15.96464493,79.34560515
367.732,32.02072539,69.9998677
367.952,50.81987199,55.4664124
368.172,79.48491314,43.2277132
368.392,106.6260286,2.2163029
368.612,140.7436757,12.4544455
368.832,168.3236818,12.6113519
369.052,197.951844,12.1210194
369.272,219.5428223,10.91480145
369.491,241.6458397,10.1400761
369.712,257.1350198,9.6693569
369.931,273.9103932,8.433719
370.152,284.7668394,7.75706015
370.371,300.4571777,7.14904785
370.591,313.340445,6.4135491
370.811,328.7077111,6.05070305
371.011,341.310576,5.46230405
371.231,353.8646754,4.8640984
371.451,368.3937824,4.511059
371.671,380.1036269,4.14821295
371.891,393.1575739,3.6480738
372.111,403.9073453,3.34406765
372.331,415.8518744,2.87334845
372.527,423.6574215,2.83412185
372.711,433.2429137,2.48108245
372.882,440.4327949,2.24572285
373.101,451.3044803,2.0593965
373.301,459.4422432,1.9221034
373.52,467.5099055,1.71616375
373.717,475.2971655,1.5494507
373.92,482.3346541,1.4121576
374.12,489.0673575,1.26505785
374.317,495.348979,1.06892485
374.504,501.4568729,0.8825985
374.704,506.9155745,0.8041453
374.901,512.0664432,0.73549875
375.104,516.9551966,0.588399
375.303,521.4568729,0.51975245
375.482,524.8064614,0.4511059
375.703,529.5062481,0.3530394
375.903,532.8588845,0.32361945
376.081,535.3245962,0.38245935
376.261,538.0768059,0.3334261
376.462,540.5089912,0.4118793
376.648,542.1152088,0.48052585
376.832,543.8860104,4.2560861
377.01,545.635477,1.28467115
377.205,546.6016458,3.92266
377.393,547.6470588,1.59848395
377.571,548.4395002,1.50041745
377.772,548.8814386,3.97169325
377.949,549.3142335,5.08965135
378.145,549.5519659,5.65843705
378.312,548.9789698,4.3345393
378.49,548.3968302,4.6287388
378.685,547.4459006,6.05070305
378.852,546.6077415,6.67832865
379.029,545.5196586,7.42363405
379.199,543.913441,7.44324735
379.359,542.355989,6.81562175
379.538,540.5790917,8.0610663
